序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,热门度,转债名称.1
11,顺丰转债,128080,顺丰控股,2352,交通运输,119.6,-0.33%,-0.34%,37.25,-1.19%,112.0,1.6%,109.2,40.41,4.14,92.18,29.7%,4月14天,5.86年,3.86年,3.5%,3.3%,58.0,1644,-1.56%,-1.84%,-3.85%,-3.95%,87.35,87.0,18.63,105.63,13.2%,31%,31%,16%,0.56,AAA,4.0%,12,顺丰转债
12,常汽转债,113550,常熟汽饰,603035,汽车,143.86,3.87%,2.97%,15.98,7.39%,183.0,13.2%,121.8,9.93,1.71,160.93,-10.6%,4月14天,5.86年,3.86年,22.2%,35.7%,9.9,45,-2.86%,-3.46%,-7.66%,-7.86%,83.06,87.25,81.77,169.01,-14.9%,40%,<2%,17%,0.93,AA-,6.0%,15,常汽转债
13,白电转债,113549,白云电器,603861,能源电力,109.16,-1.30%,0.08%,8.85,-1.88%,8.2,0.8%,115.1,8.99,1.71,98.44,10.9%,4月13天,5.85年,3.85年,22.0%,21.7%,8.8,40,0.92%,0.46%,-1.30%,-1.47%,85.30,86.94,25.2,112.14,-2.7%,43%,14%,16%,0.65,AA,5.0%,15,白电转债
14,利德转债,123035,利亚德,300296,电子,129.509,-0.38%,0.28%,8.1,-0.12%,8.5,0.8%,115.6,7.04,2.47,115.06,12.6%,4月12天,5.85年,3.85年,3.9%,4.5%,8.0,206,-1.96%,-2.42%,-5.35%,-5.53%,87.42,89.84,36.78,126.62,2.3%,62%,22%,17%,0.75,AA+,4.5%,13,利德转债
15,川投转债,110061,川投能源,600674,能源电力,119.98,-1.51%,1.51%,9.77,0.00%,73.0,1.5%,111.0,9.92,1.65,98.49,21.8%,4月7天,5.84年,3.84年,9.3%,9.2%,40.0,430,-1.34%,-1.68%,-3.65%,-3.80%,88.55,88.62,22.94,111.56,7.5%,17%,27%,16%,0.63,AAA,4.0%,14,川投转债
16,通光转债,123034,通光线缆,300265,通信互联网,107.22,-0.76%,0.12%,7.89,-0.88%,13.0,3.9%,118.5,7.98,2.6,98.87,8.4%,4月0天,5.82年,3.82年,11.2%,11.0%,3.0,27,1.77%,1.20%,-0.77%,-0.96%,78.20,78.46,35.07,113.53,-5.6%,50%,11%,17%,0.74,A+,7.5%,26,通光转债
17,金力转债,123033,金力永磁,300748,电子,117.0,1.47%,-1.52%,41.11,-0.07%,19.0,3.8%,121.9,41.2,14.53,99.78,17.3%,3月29天,5.81年,3.81年,2.6%,2.6%,4.4,170,0.73%,0.08%,-2.62%,-2.87%,83.85,87.65,28.62,116.27,0.6%,80%,16%,16%,0.67,AA-,6.0%,14,金力转债
18,石英转债,113548,石英股份,603688,电子,136.34,-1.23%,-4.17%,21.1,-6.22%,20.0,4.0%,124.8,15.25,4.97,138.36,-1.5%,3月23天,5.80年,3.80年,5.1%,7.0%,3.6,71,-1.54%,-2.23%,-6.50%,-6.70%,83.31,89.66,59.17,148.83,-8.4%,52%,<2%,17%,0.87,AA-,6.0%,12,石英转债
19,天路转债,110060,西藏天路,600326,建筑,117.08,-0.81%,1.28%,7.44,0.68%,37.0,2.9%,115.3,7.24,1.89,102.76,13.9%,3月24天,5.80年,3.80年,16.9%,17.3%,11.0,64,-0.27%,-0.74%,-3.02%,-3.19%,85.69,87.34,28.34,115.69,1.2%,46%,20%,16%,0.69,AA,5.0%,9,天路转债
20,浦发转债!,110059,浦发银行,600000,金融,110.16,-0.73%,0.16%,12.32,-1.44%,630.0,1.1%,117.8,15.05,0.75,81.86,34.6%,3月26天,5.80年,无权,13.8%,11.3%,500.0,3616,1.19%,0.64%,无权,无权,无权,94.34,11.77,106.11,3.8%,22%,22%,17%,0.39,AAA,4.0%,47,浦发转债!
21,北方转债,127014,北方国际,65,建筑,116.0,-0.34%,-0.62%,8.67,-1.59%,6.5,1.0%,115.6,8.84,1.45,98.08,18.3%,3月22天,5.79年,3.79年,8.7%,8.5%,5.8,67,-0.06%,-0.54%,-2.73%,-2.92%,87.64,90.07,23.49,113.56,2.2%,49%,20%,17%,0.61,AA+,4.5%,12,北方转债
